iter	Passed	Remaining
948	106033	452626
949	106135	452472
950	106247	452362
951	106364	452271
952	106478	452170
953	106577	452005
954	106678	451847
955	106774	451668
956	106885	451555
957	106988	451405
958	107094	451270
959	107207	451165
960	107323	451072
961	107436	450963
962	107552	450871
963	107653	450715
964	107765	450606
965	107871	450471
966	107978	450339
967	108111	450314
968	108208	450141
969	108300	449950
970	108408	449822
971	108514	449687
972	108620	449554
973	108724	449410
974	108826	449256
975	108931	449121
976	109034	448970
977	109136	448821
978	109239	448673
979	109364	448619
980	109452	448411
981	109553	448255
982	109653	448094
983	109758	447958
984	109871	447851
985	109965	447667
986	110067	447519
987	110170	447374
988	110294	447311
989	110411	447224
990	110511	447063
991	110608	446893
992	110703	446715
993	110786	446489
994	110897	446375
995	111027	446338
996	111154	446289
997	111241	446081
998	111327	445868
999	111431	445724
1000	111529	445561
1001	111629	445403
1002	111742	445298
1003	111850	445172
1004	111959	445052
1005	112073	444952
1006	112185	444844
1007	112300	444744
1008	112400	444590
1009	112502	444440
1010	112614	444330
1011	112713	444171
1012	112822	444049
1013	112925	443906
1014	113040	443807
1015	113163	443742
1016	113269	443611
1017	113366	443444
1018	113474	443318
1019	113583	443197
1020	113701	443112
1021	113806	442977
1022	113918	442866
1023	114030	442757
1024	114134	442619
1025	114233	442458
1026	114335	442311
1027	114452	442224
1028	114549	442056
1029	114665	441961
1030	114768	441818
1031	114879	441706
1032	114984	441572
1033	115089	441435
1034	115193	441295
1035	115299	441164
1036	115387	440965
1037	115484	440800
1038	115602	440713
1039	115713	440601
1040	115822	440482
1041	115920	440320
1042	116014	440142
1043	116103	439947
1044	116207	439809
1045	116309	439661
1046	116421	439555
1047	116521	439401
1048	116630	439283
1049	116744	439180
1050	116853	439061
1051	116953	438909
1052	117065	438799
1053	117171	438671
1054	117269	438510
1055	117362	438331
1056	117462	438178
1057	117573	438065
1058	117681	437942
1059	117787	437814
1060	117907	437736
1061	118018	437624
1062	118121	437482
1063	118217	437314
1064	118306	437124
1065	118416	437007
1066	118521	436874
1067	118629	436753
1068	118712	436537
1069	118821	436418
1070	118936	436322
1071	119036	436170
1072	119135	436017
1073	119236	435869
1074	119341	435733
1075	119445	435600
1076	119547	435455
1077	119653	435324
1078	119751	435166
1079	119859	435045
1080	119963	434911
1081	120062	434755
1082	120164	434612
1083	120248	434401
1084	120354	434273
1085	120460	434144
1086	120553	433971
1087	120660	433844
1088	120761	433698
1089	120859	433540
1090	120943	433335
1091	121048	433203
1092	121151	433064
1093	121250	432912
1094	121353	432772
1095	121448	432605
1096	121550	432463
1097	121639	432273
1098	121728	432084
1099	121839	431975
1100	121944	431844
1101	122059	431750
1102	122168	431631
1103	122286	431546
1104	122393	431422
1105	122493	431273
1106	122601	431154
1107	122711	431039
1108	122821	430929
1109	122933	430819
1110	123038	430689
1111	123147	430574
1112	123263	430479
1113	123369	430354
1114	123475	430227
1115	123569	430055
1116	123678	429941
1117	123783	429810
1118	123874	429629
1119	123966	429454
1120	124071	429323
1121	124194	429255
1122	124295	429111
